Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Rockets,Jazz,Jazz,Jazz
Rockets,Grizzlies,Rockets,Grizzlies
Rockets,Wizards,Rockets,Wizards
Rockets,Pistons,Rockets,Pistons
Rockets,Hornets,Rockets,Hornets
Rockets,Cavaliers,Rockets,Cavaliers
Rockets,Warriors,Warriors,Warriors
Clippers,Hawks,Clippers,Hawks
Clippers,Celtics,Celtics,Celtics
Clippers,Pelicans,Clippers,Pelicans
Clippers,Bulls,Clippers,Bulls
Clippers,Mavericks,Mavericks,Mavericks
Clippers,Nuggets,Nuggets,Nuggets
Clippers,Rockets,Rockets,Rockets
Clippers,Lakers,Clippers,Lakers
Clippers,Heat,Heat,Heat
Clippers,Bucks,Clippers,Bucks
Clippers,Timberwolves,Clippers,Timberwolves
Clippers,Nets,Clippers,Nets
Clippers,Knicks,Clippers,Knicks
Clippers,Magic,Clippers,Magic
Clippers,Pacers,Clippers,Pacers
Clippers,76ers,Clippers,76ers
Clippers,Suns,Clippers,Suns
Clippers,Trail Blazers,Clippers,Trail Blazers
Clippers,Kings,Clippers,Kings
Clippers,Spurs,Spurs,Spurs
Clippers,Thunder,Clippers,Thunder
Clippers,Raptors,Clippers,Raptors
Clippers,Jazz,Jazz,Jazz
Clippers,Grizzlies,Clippers,Grizzlies
Clippers,Wizards,Clippers,Wizards
Clippers,Pistons,Clippers,Pistons
Clippers,Hornets,Clippers,Hornets
Clippers,Cavaliers,Clippers,Cavaliers
Clippers,Warriors,Warriors,Warriors
Lakers,Hawks,Lakers,Hawks
Lakers,Celtics,Celtics,Celtics
Lakers,Pelicans,Lakers,Pelicans
Lakers,Bulls,Lakers,Bulls
Lakers,Mavericks,Mavericks,Mavericks
Lakers,Nuggets,Nuggets,Nuggets
Lakers,Rockets,Rockets,Rockets
Lakers,Clippers,Lakers,Clippers
Lakers,Heat,Heat,Heat
Lakers,Bucks,Lakers,Bucks
Lakers,Timberwolves,Lakers,Timberwolves
Lakers,Nets,Lakers,Nets
Lakers,Knicks,Lakers,Knicks
Lakers,Magic,Lakers,Magic
Lakers,Pacers,Lakers,Pacers
Lakers,76ers,Lakers,76ers
Lakers,Suns,Lakers,Suns
Lakers,Trail Blazers,Lakers,Trail Blazers
Lakers,Kings,Lakers,Kings
Lakers,Spurs,Spurs,Spurs
Lakers,Thunder,Lakers,Thunder
Lakers,Raptors,Lakers,Raptors
Lakers,Jazz,Jazz,Jazz
Lakers,Grizzlies,Lakers,Grizzlies
Lakers,Wizards,Lakers,Wizards
Lakers,Pistons,Lakers,Pistons
Lakers,Hornets,Lakers,Hornets
Lakers,Cavaliers,Lakers,Cavaliers
Lakers,Warriors,Warriors,Warriors
Heat,Hawks,Heat,Hawks
Heat,Celtics,Celtics,Celtics
Heat,Pelicans,Heat,Pelicans
Heat,Bulls,Heat,Bulls
Heat,Mavericks,Mavericks,Mavericks
Heat,Nuggets,Nuggets,Nuggets
Heat,Rockets,Rockets,Rockets
Heat,Clippers,Heat,Clippers
Heat,Lakers,Lakers,Lakers
Heat,Bucks,Heat,Bucks
Heat,Timberwolves,Heat,Timberwolves
Heat,Nets,Heat,Nets
Heat,Knicks,Heat,Knicks
Heat,Magic,Heat,Magic
Heat,Pacers,Heat,Pacers
Heat,76ers,Heat,76ers
Heat,Suns,Suns,Suns
Heat,Trail Blazers,Heat,Trail Blazers
Heat,Kings,Heat,Kings
Heat,Spurs,Spurs,Spurs
Heat,Thunder,Heat,Thunder
Heat,Raptors,Heat,Raptors
Heat,Jazz,Jazz,Jazz
Heat,Grizzlies,Heat,Grizzlies
Heat,Wizards,Heat,Wizards
Heat,Pistons,Heat,Pistons
Heat,Hornets,Heat,Hornets
Heat,Cavaliers,Heat,Cavaliers
Heat,Warriors,Warriors,Warriors
Bucks,Hawks,Bucks,Hawks
Bucks,Celtics,Celtics,Celtics
Bucks,Pelicans,Bucks,Pelicans
Bucks,Bulls,Bucks,Bulls
Bucks,Mavericks,Mavericks,Mavericks
Bucks,Nuggets,Nuggets,Nuggets
Bucks,Rockets,Rockets,Rockets
Bucks,Clippers,Bucks,Clippers
Bucks,Lakers,Bucks,Lakers
Bucks,Heat,Bucks,Heat
Bucks,Timberwolves,Bucks,Timberwolves
Bucks,Nets,Bucks,Nets
Bucks,Knicks,Bucks,Knicks
Bucks,Magic,Bucks,Magic
Bucks,Pacers,Bucks,Pacers
Bucks,76ers,Bucks,76ers
Bucks,Suns,Bucks,Suns
Bucks,Trail Blazers,Bucks,Trail Blazers
Bucks,Kings,Bucks,Kings
Bucks,Spurs,Spurs,Spurs
Bucks,Thunder,Bucks,Thunder
Bucks,Raptors,Bucks,Raptors
Bucks,Jazz,Bucks,Jazz
Bucks,Grizzlies,Bucks,Grizzlies
Bucks,Wizards,Bucks,Wizards
Bucks,Pistons,Bucks,Pistons
Bucks,Hornets,Bucks,Hornets
Bucks,Cavaliers,Bucks,Cavaliers
Bucks,Warriors,Warriors,Warriors
Timberwolves,Hawks,Timberwolves,Hawks
Timberwolves,Celtics,Timberwolves,Celtics
Timberwolves,Pelicans,Timberwolves,Pelicans
Timberwolves,Bulls,Timberwolves,Bulls
Timberwolves,Mavericks,Timberwolves,Mavericks
Timberwolves,Nuggets,Timberwolves,Nuggets
Timberwolves,Rockets,Timberwolves,Rockets
Timberwolves,Clippers,Timberwolves,Clippers
Timberwolves,Lakers,Timberwolves,Lakers
Timberwolves,Heat,Timberwolves,Heat
Timberwolves,Bucks,Timberwolves,Bucks
Timberwolves,Nets,Timberwolves,Nets
Timberwolves,Knicks,Timberwolves,Knicks
Timberwolves,Magic,Timberwolves,Magic
Timberwolves,Pacers,Timberwolves,Pacers
Timberwolves,76ers,Timberwolves,76ers
Timberwolves,Suns,Timberwolves,Suns
Timberwolves,Trail Blazers,Timberwolves,Trail Blazers
Timberwolves,Kings,Timberwolves,Kings
Timberwolves,Spurs,Spurs,Spurs
Timberwolves,Thunder,Timberwolves,Thunder
Timberwolves,Raptors,Timberwolves,Raptors
Timberwolves,Jazz,Timberwolves,Jazz
Timberwolves,Grizzlies,Timberwolves,Grizzlies
Timberwolves,Wizards,Timberwolves,Wizards
Timberwolves,Pistons,Timberwolves,Pistons
Timberwolves,Hornets,Timberwolves,Hornets
Timberwolves,Cavaliers,Timberwolves,Cavaliers
Timberwolves,Warriors,Timberwolves,Warriors
Nets,Hawks,Nets,Hawks
Nets,Celtics,Nets,Celtics
Nets,Pelicans,Nets,Pelicans
Nets,Bulls,Nets,Bulls
Nets,Mavericks,Mavericks,Mavericks
Nets,Nuggets,Nuggets,Nuggets
Nets,Rockets,Nets,Rockets
Nets,Clippers,Nets,Clippers
Nets,Lakers,Nets,Lakers
Nets,Heat,Nets,Heat
Nets,Bucks,Nets,Bucks
Nets,Timberwolves,Nets,Timberwolves
Nets,Knicks,Nets,Knicks
Nets,Magic,Nets,Magic
Nets,Pacers,Nets,Pacers
Nets,76ers,Nets,76ers
Nets,Suns,Nets,Suns
Nets,Trail Blazers,Nets,Trail Blazers
Nets,Kings,Nets,Kings
Nets,Spurs,Spurs,Spurs
Nets,Thunder,Nets,Thunder
Nets,Raptors,Nets,Raptors
Nets,Jazz,Nets,Jazz
Nets,Grizzlies,Nets,Grizzlies
Nets,Wizards,Nets,Wizards
Nets,Pistons,Nets,Pistons
Nets,Hornets,Nets,Hornets
Nets,Cavaliers,Nets,Cavaliers
Nets,Warriors,Nets,Warriors
Knicks,Hawks,Knicks,Hawks
Knicks,Celtics,Knicks,Celtics
Knicks,Pelicans,Knicks,Pelicans
Knicks,Bulls,Knicks,Bulls
Knicks,Mavericks,Knicks,Mavericks
Knicks,Nuggets,Knicks,Nuggets
Knicks,Rockets,Knicks,Rockets
Knicks,Clippers,Knicks,Clippers
Knicks,Lakers,Knicks,Lakers
Knicks,Heat,Knicks,Heat
Knicks,Bucks,Knicks,Bucks
Knicks,Timberwolves,Knicks,Timberwolves
Knicks,Nets,Knicks,Nets
Knicks,Magic,Knicks,Magic
Knicks,Pacers,Knicks,Pacers
Knicks,76ers,Knicks,76ers
Knicks,Suns,Knicks,Suns
Knicks,Trail Blazers,Knicks,Trail Blazers
Knicks,Kings,Knicks,Kings
Knicks,Spurs,Spurs,Spurs
Knicks,Thunder,Knicks,Thunder
Knicks,Raptors,Knicks,Raptors
Knicks,Jazz,Knicks,Jazz
Knicks,Grizzlies,Knicks,Grizzlies
Knicks,Wizards,Knicks,Wizards
Knicks,Pistons,Knicks,Pistons
Knicks,Hornets,Knicks,Hornets
Knicks,Cavaliers,Knicks,Cavaliers
Knicks,Warriors,Knicks,Warriors
Magic,Hawks,Magic,Hawks
Magic,Celtics,Celtics,Celtics
Magic,Pelicans,Magic,Pelicans
Magic,Bulls,Magic,Bulls
Magic,Mavericks,Mavericks,Mavericks
Magic,Nuggets,Nuggets,Nuggets
Magic,Rockets,Magic,Rockets
Magic,Clippers,Magic,Clippers
Magic,Lakers,Magic,Lakers
Magic,Heat,Magic,Heat
Magic,Bucks,Magic,Bucks
Magic,Timberwolves,Magic,Timberwolves
Magic,Nets,Magic,Nets
Magic,Knicks,Magic,Knicks
Magic,Pacers,Magic,Pacers
Magic,76ers,Magic,76ers
Magic,Suns,Magic,Suns
Magic,Trail Blazers,Magic,Trail Blazers
Magic,Kings,Magic,Kings
Magic,Spurs,Spurs,Spurs
Magic,Thunder,Magic,Thunder
Magic,Raptors,Magic,Raptors
Magic,Jazz,Magic,Jazz
Magic,Grizzlies,Magic,Grizzlies
Magic,Wizards,Magic,Wizards
Magic,Pistons,Magic,Pistons
Magic,Hornets,Magic,Hornets
Magic,Cavaliers,Magic,Cavaliers
Magic,Warriors,Magic,Warriors
Pacers,Hawks,Pacers,Hawks
Pacers,Celtics,Celtics,Celtics
Pacers,Pelicans,Pacers,Pelicans
Pacers,Bulls,Pacers,Bulls
Pacers,Mavericks,Mavericks,Mavericks
Pacers,Nuggets,Nuggets,Nuggets
Pacers,Rockets,Rockets,Rockets
Pacers,Clippers,Pacers,Clippers
Pacers,Lakers,Pacers,Lakers
Pacers,Heat,Heat,Heat
Pacers,Bucks,Pacers,Bucks
Pacers,Timberwolves,Pacers,Timberwolves
Pacers,Nets,Pacers,Nets
Pacers,Knicks,Pacers,Knicks
Pacers,Magic,Pacers,Magic
Pacers,76ers,Pacers,76ers
Pacers,Suns,Pacers,Suns
Pacers,Trail Blazers,Pacers,Trail Blazers
Pacers,Kings,Pacers,Kings
Pacers,Spurs,Spurs,Spurs
Pacers,Thunder,Pacers,Thunder
Pacers,Raptors,Pacers,Raptors
Pacers,Jazz,Jazz,Jazz
Pacers,Grizzlies,Pacers,Grizzlies
Pacers,Wizards,Pacers,Wizards
Pacers,Pistons,Pacers,Pistons
Pacers,Hornets,Pacers,Hornets
Pacers,Cavaliers,Pacers,Cavaliers
Pacers,Warriors,Warriors,Warriors
76ers,Hawks,76ers,Hawks
76ers,Celtics,Celtics,Celtics
76ers,Pelicans,76ers,Pelicans
76ers,Bulls,76ers,Bulls
76ers,Mavericks,Mavericks,Mavericks
76ers,Nuggets,Nuggets,Nuggets
76ers,Rockets,76ers,Rockets
76ers,Clippers,76ers,Clippers
76ers,Lakers,76ers,Lakers
76ers,Heat,76ers,Heat
76ers,Bucks,76ers,Bucks
76ers,Timberwolves,76ers,Timberwolves
76ers,Nets,76ers,Nets
76ers,Knicks,76ers,Knicks
76ers,Magic,76ers,Magic
76ers,Pacers,76ers,Pacers
76ers,Suns,76ers,Suns
76ers,Trail Blazers,76ers,Trail Blazers
76ers,Kings,76ers,Kings
76ers,Spurs,Spurs,Spurs
76ers,Thunder,76ers,Thunder
76ers,Raptors,76ers,Raptors
76ers,Jazz,76ers,Jazz
76ers,Grizzlies,76ers,Grizzlies
76ers,Wizards,76ers,Wizards
76ers,Pistons,76ers,Pistons
76ers,Hornets,76ers,Hornets
76ers,Cavaliers,76ers,Cavaliers
76ers,Warriors,76ers,Warriors
Suns,Hawks,Suns,Hawks
Suns,Celtics,Celtics,Celtics
Suns,Pelicans,Suns,Pelicans
Suns,Bulls,Suns,Bulls
Suns,Mavericks,Mavericks,Mavericks
Suns,Nuggets,Nuggets,Nuggets
Suns,Rockets,Rockets,Rockets
Suns,Clippers,Suns,Clippers
Suns,Lakers,Suns,Lakers
Suns,Heat,Heat,Heat
Suns,Bucks,Suns,Bucks
Suns,Timberwolves,Suns,Timberwolves
Suns,Nets,Suns,Nets
Suns,Knicks,Suns,Knicks
Suns,Magic,Suns,Magic
Suns,Pacers,Suns,Pacers
Suns,76ers,Suns,76ers
Suns,Trail Blazers,Suns,Trail Blazers
Suns,Kings,Suns,Kings
Suns,Spurs,Spurs,Spurs
Suns,Thunder,Suns,Thunder
Suns,Raptors,Suns,Raptors
Suns,Jazz,Jazz,Jazz
Suns,Grizzlies,Suns,Grizzlies
Suns,Wizards,Suns,Wizards
Suns,Pistons,Suns,Pistons
Suns,Hornets,Suns,Hornets
Suns,Cavaliers,Suns,Cavaliers
Suns,Warriors,Warriors,Warriors
Trail Blazers,Hawks,Trail Blazers,Hawks
Trail Blazers,Celtics,Celtics,Celtics
Trail Blazers,Pelicans,Trail Blazers,Pelicans
Trail Blazers,Bulls,Trail Blazers,Bulls
Trail Blazers,Mavericks,Mavericks,Mavericks
Trail Blazers,Nuggets,Nuggets,Nuggets
Trail Blazers,Rockets,Rockets,Rockets
Trail Blazers,Clippers,Trail Blazers,Clippers
Trail Blazers,Lakers,Trail Blazers,Lakers
Trail Blazers,Heat,Heat,Heat
Trail Blazers,Bucks,Trail Blazers,Bucks
Trail Blazers,Timberwolves,Trail Blazers,Timberwolves
Trail Blazers,Nets,Trail Blazers,Nets
Trail Blazers,Knicks,Trail Blazers,Knicks
Trail Blazers,Magic,Trail Blazers,Magic
Trail Blazers,Pacers,Trail Blazers,Pacers
Trail Blazers,76ers,Trail Blazers,76ers
Trail Blazers,Suns,Trail Blazers,Suns
Trail Blazers,Kings,Trail Blazers,Kings
Trail Blazers,Spurs,Spurs,Spurs
Trail Blazers,Thunder,Trail Blazers,Thunder
Trail Blazers,Raptors,Trail Blazers,Raptors
Trail Blazers,Jazz,Jazz,Jazz
Trail Blazers,Grizzlies,Trail Blazers,Grizzlies
